marker_id,focus,corner_x,corner_y,corner_x_norm,corner_y_norm
0,0.5,3209.0781,739.322,0.26959774,-0.16581897
0,1.0,3213.1055,736.57855,0.27079737,-0.16663618
0,2.0,3214.0942,738.93805,0.2710919,-0.16593336
0,3.0,3226.7173,730.3855,0.27485195,-0.16848092
0,4.0,3234.4102,725.4633,0.27714345,-0.1699471
0,5.0,3241.848,720.89966,0.27935895,-0.17130649
0,6.0,3247.57,718.21826,0.28106344,-0.1721052
0,7.0,3252.0674,716.4992,0.28240305,-0.17261726
0,8.0,3257.0742,715.43964,0.28389445,-0.17293288
0,9.0,3259.711,713.10266,0.28467986,-0.173629
1,0.5,3246.083,1109.4658,0.2806205,-0.05556337
1,1.0,3248.6077,1109.3381,0.2813725,-0.055601407
1,2.0,3254.713,1103.9233,0.28319108,-0.057214323
1,3.0,3257.3103,1101.225,0.28396478,-0.058018092
1,4.0,3268.1802,1101.8811,0.2872026,-0.057822652
1,5.0,3276.6008,1100.209,0.28971088,-0.058320727
1,6.0,3282.2576,1098.3151,0.29139587,-0.058884874
1,7.0,3285.751,1094.3538,0.29243645,-0.060064837
1,8.0,3291.9424,1087.1592,0.2942807,-0.062207904
1,9.0,3308.1875,1092.1187,0.29911968,-0.060730614
2,1.0,3282.84,1495.5662,0.29156938,0.05944524
2,2.0,3291.957,1497.5868,0.2942851,0.06004713
2,3.0,3294.0654,1501.8529,0.2949131,0.061317887
2,4.0,3304.2607,1503.123,0.29795,0.061696228
2,5.0,3313.0005,1504.9722,0.30055335,0.06224703
2,6.0,3319.1965,1506.2891,0.30239898,0.062639296
2,7.0,3323.0874,1510.7937,0.30355796,0.0639811
2,8.0,3333.2905,1512.5952,0.30659717,0.06451772
2,9.0,3344.8242,1514.5033,0.31003276,0.06508609
3,2.0,3320.8945,1915.4824,0.30290475,0.18452668
3,3.0,3332.4458,1922.5955,0.30634555,0.18664546
3,4.0,3343.8057,1930.3987,0.30972934,0.18896982
3,5.0,3352.381,1935.803,0.31228372,0.19057961
3,6.0,3358.8088,1939.5115,0.31419837,0.19168428
3,7.0,3364.376,1942.1316,0.31585667,0.19246472
3,8.0,3369.5786,1943.686,0.3174064,0.19292776
3,9.0,3373.322,1946.4065,0.31852147,0.1937381
4,0.5,2822.1804,747.31195,0.15435162,-0.16343899
4,1.0,2827.0051,746.57263,0.15578876,-0.16365921
4,2.0,2832.2515,743.0605,0.15735151,-0.1647054
4,3.0,2832.7742,739.04926,0.1575072,-0.16590023
4,4.0,2835.2576,732.60156,0.15824693,-0.16782081
4,5.0,2840.0,727.35046,0.15965958,-0.16938497
4,6.0,2843.7258,723.9022,0.1607694,-0.17041211
4,7.0,2846.5571,720.04694,0.16161276,-0.1715605
4,8.0,2854.1501,712.27344,0.1638745,-0.173876
4,9.0,2860.5818,703.15796,0.16579032,-0.17659125
4,10.0,2865.8462,700.6918,0.16735844,-0.17732586
5,0.5,2842.3071,1111.769,0.1603468,-0.054877307
5,1.0,2844.2664,1109.8672,0.16093041,-0.055443816
